"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"36","RT @GWFlorian: <U+0001F3C6> #Concours <U+0001F3C6>

Vous l'attendiez depuis un moment, le voici bientôt arrivé ! Un passe de combat #ApexLegends d'une valeur de…",FALSE,0,NA,2019-03-19 16:19:48,FALSE,NA,"1108040383211233286",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaGou29",1181,TRUE,FALSE,NA,NA
"37","Hey all, i will be streaming apex legends starting in 45 minutes. Feel free to come check out my stream and leave a… https://t.co/wHef5KiOvR",FALSE,1,NA,2019-03-19 16:19:44,TRUE,NA,"1108040368157675520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ang3lwingzzz",0,FALSE,FALSE,NA,NA
"38","RT @paysafecard: <U+2605><U+2501> #GIVEAWAY <U+2501> <U+2605>
Battle Pass?!? Battle Pass!!1 <U+0001F92A> The #ApexLegends Battle Pass is finally here - and for a wild start into…",FALSE,0,NA,2019-03-19 16:19:42,FALSE,NA,"1108040358112493568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChoxPlayz",434,TRUE,FALSE,NA,NA
"39","RT @paysafecard: <U+2605><U+2501> #GIVEAWAY <U+2501> <U+2605>
Battle Pass?!? Battle Pass!!1 <U+0001F92A> The #ApexLegends Battle Pass is finally here - and for a wild start into…",FALSE,0,NA,2019-03-19 16:19:42,FALSE,NA,"1108040357416259584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KedoraZm",434,TRUE,FALSE,NA,NA
"40","#ApexLegends season 1 grind now! Gonna check out all the new new with @zero__sum_ . Say yo! 
https://t.co/TkXeLciuo9",FALSE,0,NA,2019-03-19 16:19:38,FALSE,NA,"1108040342413074432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bboysilvas",0,FALSE,FALSE,NA,NA
"41","RT @PlayApexESP: <U+0001F6A8> SORTEO PASE DE BATALLA (950 Apex coins) <U+0001F6A8>

<U+0001F4CC>Requisitos:
<U+25AA><U+FE0F>RT a este tweet
<U+25AA><U+FE0F>Seguir a @PlayApexESP + @NattyDreadTV 

<U+0001F534> MA…",FALSE,0,NA,2019-03-19 16:19:35,FALSE,NA,"1108040330631356421",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PlayApexEventos",507,TRUE,FALSE,NA,NA
"42","So, just to be sure... Will #ApexLegends players that are already lvl 100, instantly unlock everything of the battl… https://t.co/PzbkhZ7CVC",FALSE,0,NA,2019-03-19 16:19:35,TRUE,NA,"1108040327435378690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonic2903",0,FALSE,FALSE,NA,NA
"43","RT @PlayApexESP: <U+0001F6A8> SORTEO PASE DE BATALLA (950 Apex coins) <U+0001F6A8>

<U+0001F4CC>Requisitos:
<U+25AA><U+FE0F>RT a este tweet
<U+25AA><U+FE0F>Seguir a @PlayApexESP + @NattyDreadTV 

<U+0001F534> MA…",FALSE,0,NA,2019-03-19 16:19:32,FALSE,NA,"1108040316421111808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danydiazx90",507,TRUE,FALSE,NA,NA
"44","RT @AstraGaming_: Battle Pass goes live in 1 hour! I figure I might as well go live and warm up a bit beforehand! Kicking off with @Lethbea…",FALSE,0,NA,2019-03-19 16:19:26,FALSE,NA,"1108040291519352832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lethbeardski",2,TRUE,FALSE,NA,NA
"45","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:25,FALSE,NA,"1108040287534960642",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Asdibam",2008,TRUE,FALSE,NA,NA
"46","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:25,FALSE,NA,"1108040286943485952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrvTAzer",2008,TRUE,FALSE,NA,NA
"47","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:25,FALSE,NA,"1108040285509087234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quentin_amado",2008,TRUE,FALSE,NA,NA
"48","RT @MsYGamingGG: Goodmorning guys, Make sure to check out out twitch and drop a follow. We stream 7 days a week https://t.co/PBc9KqhSao #Ap…",FALSE,0,NA,2019-03-19 16:19:21,FALSE,NA,"1108040270388621317",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ayeAvize",4,TRUE,FALSE,NA,NA
"49","@JimSterling The battle royale fad is fading! THANK GOD! #ApexLegends https://t.co/miQRccURDC",FALSE,1,"JimSterling",2019-03-19 16:19:20,FALSE,"1108037727797346304","1108040267347738627","17214479","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AttackFinch",0,FALSE,FALSE,NA,NA
"50","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:19:17,FALSE,NA,"1108040255196798976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaGou29",2008,TRUE,FALSE,NA,NA
